tags,request,responses
goodbye,see you around!,Ok see you later 👋
goodbye,farewell!,Ok see you later 👋
goodbye,talk to you later!,Ok see you later 👋
goodbye,take it easy!,Ok see you later 👋
goodbye,have a good one!,Ok see you later 👋
goodbye,"see you later, alligator!",Ok see you later 👋
goodbye,peace out!,Ok see you later 👋
goodbye,i'll see you soon!,Ok see you later 👋
goodbye,catch you on the flip side!,Ok see you later 👋
goodbye,until we meet again!,Ok see you later 👋
goodbye,it was nice seeing you!,Ok see you later 👋
goodbye,stay safe!,Ok see you later 👋
arulkumaran,can you tell me about arulkumaran?,Arul was your friend 🙌
arulkumaran,who is arulkumaran to you?,Arul was your friend 🙌
arulkumaran,what can you say about arulkumaran?,Arul was your friend 🙌
arulkumaran,how would you describe arulkumaran?,Arul was your friend 🙌
arulkumaran,what do you know about arulkumaran?,Arul was your friend 🙌
arulkumaran,can you share something about arulkumaran?,Arul was your friend 🙌
arulkumaran,who is arulkumaran in your life?,Arul was your friend 🙌
arulkumaran,how do you see arulkumaran?,Arul was your friend 🙌
arulkumaran,what's your relationship with arulkumaran?,Arul was your friend 🙌
arulkumaran,can you tell me more about arulkumaran?,Arul was your friend 🙌
arulkumaran,how do you describe arulkumaran as a person?,Arul was your friend 🙌
arulkumaran,what's your perspective on arulkumaran?,Arul was your friend 🙌
arulkumaran,how would you explain arulkumaran to others?,Arul was your friend 🙌
arulkumaran,what makes arulkumaran special to you?,Arul was your friend 🙌
arulkumaran,how do you perceive arulkumaran?,Arul was your friend 🙌
arulkumaran,what is arulkumaran like?,Arul was your friend 🙌
arulkumaran,what role does arulkumaran play in your life?,Arul was your friend 🙌
arulkumaran,how do you relate to arulkumaran?,Arul was your friend 🙌
arulkumaran,what do you think of when you hear arulkumaran's name?,Arul was your friend 🙌
arulkumaran,how would you introduce arulkumaran to someone else?,Arul was your friend 🙌
ambition,what is your ambition?,Haul ambition always to become a friend for you 😊
ambition,can you tell me about your dream?,Haul ambition always to become a friend for you 😊
ambition,what are you striving for?,Haul ambition always to become a friend for you 😊
ambition,what do you want to achieve in life?,Haul ambition always to become a friend for you 😊
ambition,what drives you to succeed?,Haul ambition always to become a friend for you 😊
ambition,what's your goal in life?,Haul ambition always to become a friend for you 😊
ambition,what is it that you're working towards?,Haul ambition always to become a friend for you 😊
ambition,what is your ultimate dream?,Haul ambition always to become a friend for you 😊
ambition,what are your long-term aspirations?,Haul ambition always to become a friend for you 😊
ambition,where do you see yourself in the future?,Haul ambition always to become a friend for you 😊
ambition,what motivates you to keep going?,Haul ambition always to become a friend for you 😊
ambition,what's the big goal you're aiming for?,Haul ambition always to become a friend for you 😊
ambition,what's your vision for your future?,Haul ambition always to become a friend for you 😊
ambition,what are you passionate about achieving?,Haul ambition always to become a friend for you 😊
ambition,why do you work so hard?,Haul ambition always to become a friend for you 😊
ambition,what's the purpose behind your efforts?,Haul ambition always to become a friend for you 😊
ambition,what is your mission in life?,Haul ambition always to become a friend for you 😊
ambition,what are you hoping to accomplish?,Haul ambition always to become a friend for you 😊
ambition,how do you plan to reach your dreams?,Haul ambition always to become a friend for you 😊
ambition,what fuels your determination to succeed?,Haul ambition always to become a friend for you 😊
